//コマンド,posX,posY,posZ,番号
POP,  0,0,50,0,1
POP,  2,0,50,1,1
POP,  4,0,50,2,1
POP,  6,0,50,3,1
POP,  8,0,50,4,1
POP, 10,0,50,5,1
POP, 12,0,50,6,1
POP, 14,0,50,7,1
POP, 16,0,50,8,1
POP, 18,0,50,9,1
POP, 20,0,50,10,1
POP, 22,0,50,11,1
POP, 24,0,50,12,1
POP, 26,0,50,13,1
POP, 28,0,50,14,1
POP, 30,0,50,15,1
POP, 32,0,50,16,1
POP, 34,0,50,17,1
POP, 36,2,50,18,1
POP, 38,4,50,19,1
POP, 40,6,50,20,1
POP, 42,6,50,21,1
POP, 44,6,50,22,1
POP, 46,6,50,23,1

POP, 84,2,50,24,2
POP, 84,4,50,25,2

POP, 48,6,50,26,1
POP, 50,6,50,27,1
POP, 52,0,50,28,1
POP, 54,0,50,29,1
POP, 56,0,50,30,1
POP, 58,0,50,31,1
POP, 60,0,50,32,1
POP, 62,0,50,33,1
POP, 64,0,50,34,1
POP, 66,0,50,35,1
POP, 68,0,50,36,1
POP, 70,0,50,37,1
POP, 72,0,50,38,1
POP, 74,0,50,39,1
POP, 76,0,50,40,1
POP, 78,0,50,41,1
POP, 80,0,50,42,1
POP, 82,0,50,43,1
POP, 84,0,50,44,1
